,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,ret_a,ret_b,weight_a,weight_b,pair_id,target_notional_a,target_notional_b,pair_pnl,pair_gross_exposure
2022-08-04,22.58732795715332,74.81914520263672,0.30188440417588747,0.000594886706124953,1.527949938628961,0,,0,,0,0,kalman_beta,-0.0022273709650281193,-0.017109462251850505,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-05,22.527843475341797,74.52355194091797,0.302290871702049,5.399678877893166e-05,0.18299323529255576,0,,0,,0,0,kalman_beta,-0.002633533365449914,-0.003950770366570988,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-08,23.131193161010746,75.37335968017578,0.30688018247160315,0.0006027888606254805,1.4797421515485423,0,,0,,0,0,kalman_beta,0.026782398693836473,0.01140321035598979,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-09,23.437114715576172,76.35247039794922,0.3069593469445379,1.026461951525448e-05,0.051258481492870815,0,,0,,0,0,kalman_beta,0.013225498245420297,0.012990142962022722,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-10,23.94698905944824,76.95286560058594,0.31118328682619445,0.0005434111635125305,1.303175018742719,0,,0,,0,0,kalman_beta,0.0217549962979533,0.007863467933747925,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-11,23.615571975708008,75.03158569335938,0.3147354952303999,0.00046869458635612204,1.0909623785163514,0,,0,,0,0,kalman_beta,-0.013839613945514806,-0.024966970264612698,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-12,24.108448028564453,76.38018798828125,0.3156359254195835,0.00011670916154216116,0.2716303106606719,0,,0,,0,0,kalman_beta,0.020870807336931696,0.0179737944021785,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-15,23.980979919433594,75.45648956298828,0.31780825010430624,0.0002850124064401882,0.6527735831908108,0,,0,,0,0,kalman_beta,-0.005287279752717033,-0.012093429587194615,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-16,24.006471633911133,74.50509643554688,0.32220463571076585,0.0005841783002722423,1.3408679263202574,0,,0,,0,0,kalman_beta,0.0010629971987459186,-0.012608499718864019,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-17,23.90449905395508,75.34564971923828,0.3172730890439371,-0.0006479784901003427,-1.6202378144537064,0,,0,,0,0,kalman_beta,-0.004247712096600131,0.011281822639053418,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-18,23.887500762939453,73.89545440673828,0.32324992408600284,0.0008007356606185567,1.7706546027374992,0,,0,,0,0,kalman_beta,-0.0007110917060951794,-0.019247233488647097,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-19,23.641063690185547,73.50749206542969,0.3216173331957053,-0.0002198778024151693,-0.6142832549455468,0,,0,,0,0,kalman_beta,-0.010316569958471522,-0.005250151642253287,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-22,23.632566452026367,73.66572570800781,0.32080964073156754,-0.00010854658981784837,-0.35678735234417075,0,,0,,0,0,kalman_beta,-0.00035942706599567664,0.002152619251889032,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-23,22.884754180908203,71.81339263916016,0.318673826395799,-0.000294437876871001,-0.7788186264655994,0,,0,,0,0,kalman_beta,-0.03164329496909313,-0.025145113973217836,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-24,23.020721435546875,72.14849090576172,0.31907343194307747,5.483273157125268e-05,0.042792049177080106,0,,0,,0,0,kalman_beta,0.005941390218300979,0.004666236398067403,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-25,23.292654037475582,73.38648986816406,0.31740010749549996,-0.000225735397108906,-0.6029448673448062,0,,0,,0,0,kalman_beta,0.011812514333664925,0.01715904167724558,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-08-26,22.79977798461914,71.98094177246094,0.3167486701290235,-8.959644253891952e-05,-0.2849892542033011,0,,0,,0,0,kalman_beta,-0.021160149979622456,-0.019152681893194967,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-29,22.706300735473633,71.58068084716797,0.31721180090991485,6.40535856319957e-05,0.05672602326433963,0,,0,,0,0,kalman_beta,-0.0040999192715195365,-0.005560651409066475,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-30,22.34088897705078,70.8453369140625,0.31535101643089364,-0.00026002818793813276,-0.7101268390608528,0,,0,,0,0,kalman_beta,-0.016092967440177297,-0.01027293851361244,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-08-31,22.306901931762695,71.34796905517578,0.312654674865512,-0.00037413549789988565,-0.9525992555880313,0,,0,,0,0,kalman_beta,-0.001521293325569939,0.007094780870658957,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-01,22.34088897705078,71.28282165527344,0.3134104892049483,0.00010497016245025748,0.1427717615483678,0,,0,,0,0,kalman_beta,0.001523611185096474,-0.0009130939642019165,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-02,21.975482940673828,70.5846939086914,0.31133907727203286,-0.0002905303870335274,-0.7950476387959402,0,,0,,0,0,kalman_beta,-0.016355930901062576,-0.009793772614083762,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
2022-09-06,22.238916397094727,71.00357818603516,0.31320472627294105,0.00026012693821897415,0.4847695883578528,0,,0,,0,0,kalman_beta,0.011987607149844148,0.005934491660268826,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-07,22.765783309936523,72.29741668701172,0.31488750114786546,0.0002304299174120672,0.4032890107966488,0,,0,,0,0,kalman_beta,0.023691213341250128,0.018222159136636717,0.0,0.0,DOC__WELL,0.0,0.0,0.0,0.0
2022-09-08,22.655311584472656,71.08734893798828,0.31868936533287834,0.0005294682283079055,1.1036210516464102,0,,0,,0,0,kalman_beta,-0.004852533469193232,-0.016737358047826723,0.0,0.0,DOC__WELL,0.0,0.0,-0.0,0.0
