,price_a,price_b,beta,spread,zscore,side,entry_z,holding_days,exit_reason,position_a,position_b,model,ret_a,ret_b,weight_a,weight_b,pair_id,target_notional_a,target_notional_b,pair_pnl,pair_gross_exposure
2016-01-05,37.2747917175293,31.62863540649414,1.1784896832038634,0.0007711971595227851,0.3991790714357003,0,,0,,0,0,kalman_beta,0.009237208824811605,0.007016957465024287,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-06,37.354637145996094,31.63530731201172,1.1807669239242142,0.0007126437948130615,0.36264127246633526,0,,0,,0,0,kalman_beta,0.002142075777964658,0.00021094509553853946,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-07,37.12236022949219,31.368192672729492,1.1834129405029536,0.0008351003941768909,0.3941055530089562,0,,0,,0,0,kalman_beta,-0.0062181548062180125,-0.008443560754688995,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-01-08,36.89006805419922,31.13443374633789,1.1848492784975309,0.0004566934215901597,0.24233921254745935,0,,0,,0,0,kalman_beta,-0.00625747322791248,-0.007452100566661679,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-01-11,37.04249572753906,31.281362533569336,1.1841782154814466,-0.00021233529125908035,0.012602975909448219,0,,0,,0,0,kalman_beta,0.0041319434031916735,0.004719173260979259,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-12,37.10783767700195,31.020906448364254,1.1960976770223375,0.0038035349862184376,1.486103437856188,0,,0,,0,0,kalman_beta,0.0017639726530174205,-0.008326238504655192,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-13,37.238487243652344,31.254634857177734,1.191501448424022,-0.0014554586388513258,-0.4512507598154986,0,,0,,0,0,kalman_beta,0.003520807862414488,0.00753454478200144,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-14,37.64500045776367,31.481712341308594,1.1957313520503297,0.001329995031198905,0.5692685075426013,0,,0,,0,0,kalman_beta,0.010916480346032875,0.007265401920979686,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-15,37.30381393432617,31.501745223999023,1.1842965294428653,-0.0035936058492325174,-1.202031350429049,0,,0,,0,0,kalman_beta,-0.00906326256577683,0.0006363339602764029,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-19,38.17490005493164,32.01597595214844,1.1922931040355151,0.002472708218171249,0.9812215937100603,0,,0,,0,0,kalman_beta,0.023351127639094083,0.016323880613371866,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-20,37.129615783691406,31.495059967041016,1.179035164914998,-0.004167438556549996,-1.379589504654454,0,,0,,0,0,kalman_beta,-0.027381454037499142,-0.0162705015110578,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-01-21,36.71585464477539,31.26132583618164,1.174527350402545,-0.0014275596656574407,-0.39844762789396876,0,,0,,0,0,kalman_beta,-0.011143695677501508,-0.007421294993690264,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-01-22,37.441749572753906,31.621957778930664,1.1839494693654364,0.0029494400927134734,1.1873793002964264,0,,0,,0,0,kalman_beta,0.0197706123145307,0.011536041197959479,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-25,37.48530578613281,31.648658752441406,1.1844154382566832,0.00014575962371310425,0.16624516187232646,0,,0,,0,0,kalman_beta,0.0011633060387381544,0.0008443807843083739,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-26,37.85550308227539,31.775550842285156,1.1912733352641285,0.002136650531468831,0.8582617647560821,0,,0,,0,0,kalman_beta,0.009875797686023535,0.004009398655289376,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-27,37.97891616821289,31.815624237060547,1.1936953439357711,0.0007536520236470778,0.3573453452186876,0,,0,,0,0,kalman_beta,0.0032601095188002915,0.0012611392631489693,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-28,38.537845611572266,32.243038177490234,1.1952154957285681,0.00046675246812810656,0.24937047343047417,0,,0,,0,0,kalman_beta,0.014716835016665986,0.013434089403526972,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-01-29,39.05322265625,32.67045211791992,1.195366891112884,4.5876799724453576e-05,0.08809205319129049,0,,0,,0,0,kalman_beta,0.01337327078094308,0.013256007020085336,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-01,39.6121711730957,33.324928283691406,1.1887240762064117,-0.0019734155802879627,-0.6326703033996202,0,,0,,0,0,kalman_beta,0.014312481245545738,0.020032663258201522,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-02,39.98237609863281,33.14460372924805,1.2061442390882002,0.005203253739004765,1.916055866174557,0,,0,,0,0,kalman_beta,0.00934573679184103,-0.005411101050489142,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-03,40.44696044921875,32.396644592285156,1.2480965499993015,0.01282010203411943,3.9339693463767667,-1,3.9339693463767667,1,,-1,1,kalman_beta,0.011619728388324146,-0.022566543352662394,-0.4448207529166444,0.5551792470833556,ES__SO,-35443.67673019247,44237.13064624374,-31.87232295057449,79680.80737643622
2016-02-04,39.87349319458008,32.336524963378906,1.2332199515685902,-0.004554554654568221,-1.3876342999505893,-1,3.9339693463767667,2,,-1,1,kalman_beta,-0.014178253403210883,-0.0018557362857438697,-0.44778392710382625,0.5522160728961737,ES__SO,-35678.64308870919,43999.61450189096,419.6853906602469,79678.25759060014
2016-02-05,39.677494049072266,32.202964782714844,1.2321173926508189,-0.00033895463248967417,-0.11154768666970956,0,,0,mean_reversion_exit,0,0,kalman_beta,-0.0049155248212477964,-0.004130319532334337,0.0,0.0,ES__SO,0.0,0.0,-38.790842205664994,0.0
2016-02-08,39.26374053955078,32.60367202758789,1.2045304954331906,-0.008376680780919799,-2.404397658160753,1,-2.404397658160753,1,,1,-1,kalman_beta,-0.010427914348869027,0.012443178681738276,0.4536113254371198,-0.5463886745628802,ES__SO,36156.782280670486,-43551.94687380603,-31.883491661790607,79708.72915447652
2016-02-09,39.699275970458984,32.857444763183594,1.2081941366590974,0.0011038619804040195,0.374527464449391,0,,0,mean_reversion_exit,0,0,kalman_beta,0.011092560844260024,0.007783563010355765,0.0,0.0,ES__SO,0.0,0.0,29.507192259244782,0.0
2016-02-10,39.880760192871094,32.864131927490234,1.2134559105681573,0.0015850597663842336,0.5010930894618999,0,,0,,0,0,kalman_beta,0.004571474365103079,0.00020352052190419911,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-11,39.125823974609375,32.44746780395508,1.205891693021631,-0.0023079097668770032,-0.6530073214740807,0,,0,,0,0,kalman_beta,-0.018929835204010703,-0.012678385190713737,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-02-12,38.84272766113281,32.352935791015625,1.200643241162865,-0.0016060281262468834,-0.4283421887588083,0,,0,,0,0,kalman_beta,-0.0072355361425813225,-0.002913386446998234,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-02-16,39.09678649902344,32.474483489990234,1.203892769411591,0.0009906350481045934,0.3162326525189323,0,,0,,0,0,kalman_beta,0.006540705382666712,0.0037569295027737315,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-17,38.864498138427734,32.298912048339844,1.2032815663095353,-0.00018734119255725545,-0.01493119052124008,0,,0,,0,0,kalman_beta,-0.005941367089121408,-0.005406442929400512,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-02-18,39.53232192993164,33.001197814941406,1.1979540965790072,-0.0015981844915984311,-0.4543958522084853,0,,0,,0,0,kalman_beta,0.017183389043780917,0.021743325767459076,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-19,39.68476486206055,32.79862976074219,1.209842506470691,0.0035884235200143166,1.123777082027268,0,,0,,0,0,kalman_beta,0.003856159332080278,-0.00613820308387425,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-22,40.17111587524414,33.156517028808594,1.2115448539543014,0.0005082939429215116,0.18446257562723864,0,,0,,0,0,kalman_beta,0.01225535831884339,0.010911653037858793,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-23,40.5340690612793,33.156517028808594,1.2224090112093973,0.003243864945844166,0.9852127342059753,0,,0,,0,0,kalman_beta,0.009035178090704532,0.0,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-24,40.817161560058594,33.07548904418945,1.2339562159468807,0.003456258498069076,1.021811053585031,0,,0,,0,0,kalman_beta,0.006984063167981391,-0.002443802663251282,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-25,41.129295349121094,33.33210372924805,1.2339246588223063,-9.372821025976918e-06,-0.015847815259897088,0,,0,,0,0,kalman_beta,0.007647121385528699,0.007758454749247967,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-02-26,39.75735092163086,32.54201889038086,1.2218365592422413,-0.0036774701881086003,-1.0859956864702722,0,,0,,0,0,kalman_beta,-0.03335686682314021,-0.023703419540660686,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-02-29,39.73905563354492,32.535255432128906,1.221419107679796,-0.00012702450020185552,-0.0507414035925115,0,,0,,0,0,kalman_beta,-0.0004601737203768774,-0.0002078376966940798,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-03-01,39.68783187866211,32.06931686401367,1.237410061892276,0.004936513119936592,1.4854177964372857,0,,0,,0,0,kalman_beta,-0.001289002822693508,-0.014321036116873853,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-03-02,39.76832962036133,32.400203704833984,1.227503290891653,-0.0030270528823166387,-0.966349233772995,0,,0,,0,0,kalman_beta,0.0020282725936082713,0.010317863714509379,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-03,39.980567932128906,32.54201889038086,1.228572900399168,0.00032539912917428637,0.0889177088864214,0,,0,,0,0,kalman_beta,0.005336867648042087,0.0043769843806789055,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-04,40.64654922485352,32.839134216308594,1.2376638286533388,0.0027406410361692224,0.8274270218284638,0,,0,,0,0,kalman_beta,0.016657624620420197,0.009130205686640913,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-07,41.06369400024414,32.74460220336914,1.2539099388933714,0.004911852329783528,1.4479988300230118,0,,0,,0,0,kalman_beta,0.010262735296002745,-0.0028786390139514673,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-08,41.48816680908203,33.19029235839844,1.2500438244645375,-0.001153185706463944,-0.40314837958732413,0,,0,,0,0,kalman_beta,0.010336936780099837,0.013611103053297713,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-09,41.619895935058594,33.46715545654297,1.2436606455700443,-0.0018882254186678438,-0.6756718201479825,0,,0,,0,0,kalman_beta,0.0031751011458940326,0.008341689044341072,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-10,41.34910583496094,33.67649459838867,1.2279698058002908,-0.0046126970569417836,-1.4800449760628627,0,,0,,0,0,kalman_beta,-0.006506265669673494,0.006255062283901935,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-11,41.385704040527344,33.62247085571289,1.2308688025770866,0.0008535986730251466,0.20147049961589555,0,,0,,0,0,kalman_beta,0.0008851027084475493,-0.001604197328731627,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-14,41.524749755859375,33.73051834106445,1.2310718072428428,5.958248730308924e-05,-0.04596733835754275,0,,0,,0,0,kalman_beta,0.0033597523240360694,0.0032135498255092543,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-15,41.53207015991211,33.98713302612305,1.222071068078607,-0.002621798251787766,-0.8544343833422988,0,,0,,0,0,kalman_beta,0.00017629014252396047,0.007607789553182975,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-16,42.00045394897461,34.223472595214844,1.2271978183751806,0.0014830429041694515,0.4376849565662732,0,,0,,0,0,kalman_beta,0.011277641284411555,0.006953795393984663,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-17,42.32978439331055,34.31801986694336,1.2334043198120392,0.0017904420272216726,0.5088590583404904,0,,0,,0,0,kalman_beta,0.007841116306410267,0.0027626440147319187,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-18,41.85408401489258,34.27750015258789,1.2211399899625877,-0.0035421773811989965,-1.2291676034486092,0,,0,,0,0,kalman_beta,-0.011237958927405867,-0.0011807124802820645,0.0,0.0,ES__SO,0.0,0.0,-0.0,0.0
2016-03-21,41.97116470336914,34.088417053222656,1.2311588114085201,0.0029096813256046516,0.873541292672182,0,,0,,0,0,kalman_beta,0.0027973539794803326,-0.005516245307374268,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
2016-03-22,42.06631088256836,33.94660949707031,1.2391219382883207,0.00232232424187373,0.6778356820429272,0,,0,,0,0,kalman_beta,0.002266941598396466,-0.004159992408299229,0.0,0.0,ES__SO,0.0,0.0,0.0,0.0
