date,equity,daily_return,gross_exposure,net_exposure
2013-07-26,997249.1851618119,0.0,0.0,0.0
2013-07-29,997249.1851618119,0.0,0.0,0.0
2013-07-30,997249.1851618119,0.0,0.0,0.0
2013-07-31,997249.1851618119,0.0,0.0,0.0
2013-08-01,997249.1851618119,0.0,0.0,0.0
2013-08-02,997249.1851618119,0.0,0.0,0.0
2013-08-05,997249.1851618119,0.0,0.0,0.0
2013-08-06,997249.1851618119,0.0,0.0,0.0
2013-08-07,997249.1851618119,0.0,0.0,0.0
2013-08-08,997249.1851618119,0.0,0.0,0.0
2013-08-09,997249.1851618119,0.0,0.0,0.0
2013-08-12,997249.1851618119,0.0,0.0,0.0
2013-08-13,997217.2731878867,-3.2e-05,79779.93481294495,-3503.861543293693
2013-08-14,996979.6391187165,-0.00023829718513651015,79777.38185503092,-3235.7790556799446
2013-08-15,996958.1650715952,-2.1539102985320323e-05,0.0,0.0
2013-08-16,996958.1650715952,0.0,0.0,0.0
2013-08-19,996958.1650715952,0.0,0.0,0.0
2013-08-20,996958.1650715952,0.0,0.0,0.0
2013-08-21,996958.1650715952,0.0,0.0,0.0
2013-08-22,996958.1650715952,0.0,0.0,0.0
2013-08-23,996958.1650715952,0.0,0.0,0.0
2013-08-26,996958.1650715952,0.0,0.0,0.0
2013-08-27,996958.1650715952,0.0,0.0,0.0
2013-08-28,996958.1650715952,0.0,0.0,0.0
2013-08-29,996958.1650715952,0.0,0.0,0.0
2013-08-30,996958.1650715952,0.0,0.0,0.0
2013-09-03,996958.1650715952,0.0,0.0,0.0
2013-09-04,996958.1650715952,0.0,0.0,0.0
2013-09-05,996958.1650715952,0.0,0.0,0.0
2013-09-06,996958.1650715952,0.0,0.0,0.0
2013-09-09,996958.1650715952,0.0,0.0,0.0
2013-09-10,996958.1650715952,0.0,0.0,0.0
2013-09-11,996958.1650715952,0.0,0.0,0.0
2013-09-12,996958.1650715952,0.0,0.0,0.0
2013-09-13,996958.1650715952,0.0,0.0,0.0
2013-09-16,996958.1650715952,0.0,0.0,0.0
2013-09-17,996958.1650715952,0.0,0.0,0.0
2013-09-18,996958.1650715952,0.0,0.0,0.0
2013-09-19,996958.1650715952,0.0,0.0,0.0
2013-09-20,996958.1650715952,0.0,0.0,0.0
2013-09-23,996958.1650715952,0.0,0.0,0.0
2013-09-24,996958.1650715952,0.0,0.0,0.0
2013-09-25,996958.1650715952,0.0,0.0,0.0
2013-09-26,996958.1650715952,0.0,0.0,0.0
2013-09-27,996958.1650715952,0.0,0.0,0.0
2013-09-30,996958.1650715952,0.0,0.0,0.0
2013-10-01,996958.1650715952,0.0,0.0,0.0
2013-10-02,996958.1650715952,0.0,0.0,0.0
2013-10-03,996926.2624103129,-3.200000000000001e-05,79756.65320572763,25568.48050621569
2013-10-04,995788.381307761,-0.0011413894341602432,79754.10099282503,26420.635111281103
2013-10-07,996806.9324326387,0.0010228590170334592,79663.07050462087,25779.435557638157
2013-10-08,997385.500126225,0.0005804210171113578,79744.5545946111,25293.84308637801
2013-10-09,997538.7763170508,0.00015367798189011057,79790.84001009799,25144.741522251028
2013-10-10,997656.4366428409,0.00011795062867073811,79803.10210536407,25523.44162727208
2013-10-11,998274.0794936975,0.0006190937362516069,79812.51493142727,25269.913155374932
2013-10-14,998247.8181060778,-2.6306791049768928e-05,0.0,0.0
2013-10-15,998247.8181060778,0.0,0.0,0.0
2013-10-16,998247.8181060778,0.0,0.0,0.0
2013-10-17,998247.8181060778,0.0,0.0,0.0
2013-10-18,998247.8181060778,0.0,0.0,0.0
2013-10-21,998247.8181060778,0.0,0.0,0.0
2013-10-22,998247.8181060778,0.0,0.0,0.0
2013-10-23,998247.8181060778,0.0,0.0,0.0
2013-10-24,998247.8181060778,0.0,0.0,0.0
2013-10-25,998247.8181060778,0.0,0.0,0.0
2013-10-28,998247.8181060778,0.0,0.0,0.0
2013-10-29,998247.8181060778,0.0,0.0,0.0
2013-10-30,998247.8181060778,0.0,0.0,0.0
2013-10-31,998247.8181060778,0.0,0.0,0.0
2013-11-01,998215.8741758985,-3.2e-05,79859.82544848623,-5453.989393606651
2013-11-04,997875.122337046,-0.00034136086959530215,79857.26993407188,-5156.916649264953
2013-11-05,998090.1314254566,0.00021546692927574334,79830.0097869637,-5327.107116969164
2013-11-06,997825.1642584611,-0.00026547418780418586,79847.21051403653,-5147.056462241286
2013-11-07,997600.4529192721,-0.00022520111462212173,79826.0131406769,-4873.428661975646
