pair_id,symbol_a,symbol_b,entry_date,side,entry_z,exit_date,exit_reason,pnl
ES__SO,ES,SO,2021-10-04,-1,3.0932897601934535,2021-10-05,mean_reversion_exit,-214.42249245446664
ES__SO,ES,SO,2021-10-22,-1,2.866545527369373,2021-10-25,mean_reversion_exit,56.4739642627525
ES__SO,ES,SO,2022-01-31,-1,2.380572144624017,2022-02-02,mean_reversion_exit,-145.76500799458017
ES__SO,ES,SO,2022-02-07,-1,2.8261120628647687,2022-02-10,mean_reversion_exit,375.0698458602368
ES__SO,ES,SO,2022-05-05,-1,2.3628318369931995,2022-05-06,mean_reversion_exit,92.15588534870857
ES__SO,ES,SO,2022-06-16,1,-2.47723100772311,2022-06-17,mean_reversion_exit,160.064835752809
ES__SO,ES,SO,2022-08-02,-1,2.8629686385327227,2022-08-05,mean_reversion_exit,678.022820228002
ES__SO,ES,SO,2022-10-13,1,-2.419055238673394,2022-10-21,mean_reversion_exit,-879.9166868766634
ES__SO,ES,SO,2022-10-27,-1,2.806885172996241,2022-11-02,mean_reversion_exit,-1077.680954589506
ES__SO,ES,SO,2022-11-10,-1,2.966583345554144,2022-11-14,mean_reversion_exit,-136.18145763290073
ES__SO,ES,SO,2022-12-12,1,-2.433949670222805,2022-12-13,mean_reversion_exit,-35.16635363031433
ES__SO,ES,SO,2023-05-12,-1,3.1140300975831767,2023-05-22,mean_reversion_exit,534.5568309926729
ES__SO,ES,SO,2023-05-26,1,-3.0901255345534397,2023-06-06,mean_reversion_exit,811.035837032585
ES__SO,ES,SO,2023-09-21,-1,2.4801763608393976,2023-09-22,mean_reversion_exit,186.73728320278377
ES__SO,ES,SO,2023-09-29,-1,2.601435095461337,2023-10-13,mean_reversion_exit,3116.707308524566
ES__SO,ES,SO,2023-11-06,-1,2.957304231025918,2023-11-10,mean_reversion_exit,1598.343868219881
ES__SO,ES,SO,2023-11-14,-1,2.3685390194137574,2023-11-20,mean_reversion_exit,-1173.4772998099234
DOC__WELL,DOC,WELL,2012-06-14,-1,2.714073999386299,2012-06-18,mean_reversion_exit,-736.5229230795636
DOC__WELL,DOC,WELL,2012-06-19,1,-3.202022297941195,2012-06-21,mean_reversion_exit,241.79472753168443
DOC__WELL,DOC,WELL,2012-08-22,-1,4.0286819218141225,2012-08-27,mean_reversion_exit,416.52854909138773
DOC__WELL,DOC,WELL,2012-09-19,1,-2.2612539499089004,2012-09-25,mean_reversion_exit,-1020.0027014111414
DOC__WELL,DOC,WELL,2012-10-17,1,-2.358223359695318,2012-10-26,mean_reversion_exit,-252.59957131652004
DOC__WELL,DOC,WELL,2013-02-26,-1,2.3139486921220893,2013-02-27,mean_reversion_exit,-214.14959433144426
DOC__WELL,DOC,WELL,2013-05-09,1,-3.6191479266449003,2013-05-13,mean_reversion_exit,-102.33592051598565
DOC__WELL,DOC,WELL,2013-05-14,-1,3.7631623064669633,2013-05-15,mean_reversion_exit,-394.4771948450583
DOC__WELL,DOC,WELL,2013-05-24,1,-2.331403604200128,2013-05-29,mean_reversion_exit,-1414.2784713632786
DOC__WELL,DOC,WELL,2013-06-24,1,-2.413032055362567,2013-06-28,mean_reversion_exit,1984.8317937557201
DOC__WELL,DOC,WELL,2013-10-03,1,-3.357740751316376,2013-10-14,mean_reversion_exit,1321.5556957649387
DOC__WELL,DOC,WELL,2014-01-07,-1,2.823515856906693,2014-01-09,mean_reversion_exit,-116.76153273122043
DOC__WELL,DOC,WELL,2014-01-13,1,-4.040712264943836,2014-01-16,mean_reversion_exit,297.60262839735367
DOC__WELL,DOC,WELL,2014-02-11,1,-3.187479311282934,2014-02-12,mean_reversion_exit,-159.4844416246946
DOC__WELL,DOC,WELL,2014-02-21,1,-2.5391844228936313,2014-02-24,mean_reversion_exit,370.40600460787346
DOC__WELL,DOC,WELL,2014-05-28,-1,2.962560947670021,2014-05-29,mean_reversion_exit,-92.3845341580674
DOC__WELL,DOC,WELL,2014-06-19,1,-2.662382690820054,2014-06-23,mean_reversion_exit,447.6832953601276
DOC__WELL,DOC,WELL,2014-09-25,-1,2.3514643425113193,2014-09-26,mean_reversion_exit,-236.3307161176332
DOC__WELL,DOC,WELL,2014-11-05,-1,2.649227540880181,2014-11-10,mean_reversion_exit,666.6932962870306
DOC__WELL,DOC,WELL,2015-02-04,1,-2.8489230644607293,2015-02-05,mean_reversion_exit,187.3413667277912
DOC__WELL,DOC,WELL,2015-02-06,-1,2.4873244947816375,2015-02-09,mean_reversion_exit,134.61520746649472
DOC__WELL,DOC,WELL,2015-02-10,1,-3.693091857288143,2015-02-11,mean_reversion_exit,-67.25224309464824
DOC__WELL,DOC,WELL,2015-03-30,-1,3.2628693766104258,2015-04-02,mean_reversion_exit,-537.8447645528173
DOC__WELL,DOC,WELL,2015-06-19,1,-2.3474498385645406,2015-06-23,mean_reversion_exit,-52.63897041866983
DOC__WELL,DOC,WELL,2015-08-12,-1,4.8094025872872095,2015-08-18,mean_reversion_exit,-1045.0700046546112
DOC__WELL,DOC,WELL,2015-09-28,1,-2.5545298661211815,2015-10-01,mean_reversion_exit,79.89221213153294
DOC__WELL,DOC,WELL,2015-12-18,1,-2.2526755464656985,2015-12-24,mean_reversion_exit,1592.9048132830876
DOC__WELL,DOC,WELL,2016-01-06,1,-4.726943410380316,2016-01-07,mean_reversion_exit,-828.8772805612141
DOC__WELL,DOC,WELL,2016-01-26,-1,2.7644924730861593,2016-01-29,mean_reversion_exit,173.55395947354282
DOC__WELL,DOC,WELL,2016-02-09,1,-6.5839224997573735,2016-02-11,mean_reversion_exit,-3699.589537859523
DOC__WELL,DOC,WELL,2016-05-09,-1,2.262562372630291,2016-05-13,mean_reversion_exit,1962.3668705601456
DOC__WELL,DOC,WELL,2016-07-08,-1,2.293470735829599,2016-07-13,mean_reversion_exit,-1983.551244492747
DOC__WELL,DOC,WELL,2016-10-21,1,-2.628089709741099,2016-10-24,mean_reversion_exit,209.17745355069445
DOC__WELL,DOC,WELL,2016-11-02,1,-4.497626328926985,2016-11-03,mean_reversion_exit,-720.0526290040266
DOC__WELL,DOC,WELL,2016-11-04,-1,3.2126658682338287,2016-11-10,mean_reversion_exit,804.1339769447574
DOC__WELL,DOC,WELL,2017-07-25,-1,2.880642380118354,2017-08-04,mean_reversion_exit,2527.6244963150375
DOC__WELL,DOC,WELL,2017-10-02,1,-3.562753754930196,2017-10-09,mean_reversion_exit,626.255895437519
DOC__WELL,DOC,WELL,2017-11-02,-1,3.3164125962299296,2017-11-07,mean_reversion_exit,-437.0189959145548
DOC__WELL,DOC,WELL,2017-11-30,1,-2.2526066322950027,2017-12-01,mean_reversion_exit,304.20275113692577
DOC__WELL,DOC,WELL,2017-12-05,-1,2.424536652742733,2017-12-06,mean_reversion_exit,-88.70500458767184
DOC__WELL,DOC,WELL,2018-02-13,1,-2.665607009190968,2018-02-26,mean_reversion_exit,342.2736651622598
DOC__WELL,DOC,WELL,2018-03-06,-1,3.162723347542643,2018-03-12,mean_reversion_exit,-1403.7552887552524
DOC__WELL,DOC,WELL,2018-10-30,1,-5.090309434369894,2018-11-01,mean_reversion_exit,2157.6211847811755
DOC__WELL,DOC,WELL,2019-04-30,1,-2.343888485286708,2019-05-01,mean_reversion_exit,166.5654857935957
DOC__WELL,DOC,WELL,2019-05-02,-1,2.431048255607208,2019-05-03,mean_reversion_exit,-726.5842570705885
DOC__WELL,DOC,WELL,2019-06-20,-1,2.782455877887351,2019-06-24,mean_reversion_exit,688.6679685136346
DOC__WELL,DOC,WELL,2019-07-01,1,-2.314002465435708,2019-07-02,mean_reversion_exit,1207.386060159191
DOC__WELL,DOC,WELL,2019-08-01,-1,2.9885186302350846,2019-08-13,mean_reversion_exit,-1301.7570206921507
DOC__WELL,DOC,WELL,2019-10-01,-1,2.4650557125133927,2019-10-02,mean_reversion_exit,-235.474329144651
DOC__WELL,DOC,WELL,2019-10-23,-1,3.008160944413888,2019-10-30,mean_reversion_exit,1384.6503636471814
DOC__WELL,DOC,WELL,2019-10-31,-1,2.532436376181303,2019-11-18,mean_reversion_exit,2655.955686275239
DOC__WELL,DOC,WELL,2020-02-28,1,-4.6081366224725775,2020-03-06,mean_reversion_exit,3991.1179569719893
DOC__WELL,DOC,WELL,2020-03-09,-1,5.305004941712666,2020-03-12,zscore_stop,3167.584463105096
DOC__WELL,DOC,WELL,2020-03-17,-1,4.372049576995185,2020-03-20,mean_reversion_exit,8557.872317342486
DOC__WELL,DOC,WELL,2020-11-04,-1,2.421771590466105,2020-11-06,mean_reversion_exit,155.53536711063992
DOC__WELL,DOC,WELL,2020-11-09,1,-5.952161480049394,2020-11-10,mean_reversion_exit,817.0536819486471
DOC__WELL,DOC,WELL,2021-04-30,-1,2.381433007112217,2021-05-05,mean_reversion_exit,1333.1989117174644
DOC__WELL,DOC,WELL,2021-07-19,-1,3.776288967582695,2021-07-21,mean_reversion_exit,-1101.030545847088
DOC__WELL,DOC,WELL,2021-08-04,-1,2.985512905565746,2021-08-06,mean_reversion_exit,463.2166527182096
DOC__WELL,DOC,WELL,2021-10-22,-1,2.7581250606829166,2021-11-02,mean_reversion_exit,-898.3685292682966
DOC__WELL,DOC,WELL,2021-11-03,1,-2.4973460977987347,2021-11-16,mean_reversion_exit,-1334.141155769742
DOC__WELL,DOC,WELL,2021-11-26,-1,2.8441998495413094,2021-11-29,mean_reversion_exit,-276.57638092004964
DOC__WELL,DOC,WELL,2021-12-20,-1,2.5567415586559257,2021-12-22,mean_reversion_exit,-170.03998542051866
DOC__WELL,DOC,WELL,2022-06-09,1,-2.393169232397463,2022-06-10,mean_reversion_exit,-579.8511216030627
DOC__WELL,DOC,WELL,2022-06-15,-1,2.9800094124675156,2022-06-16,mean_reversion_exit,465.1657946510971
DOC__WELL,DOC,WELL,2022-09-26,1,-2.975630183406887,2022-09-29,mean_reversion_exit,-1492.450060516684
DOC__WELL,DOC,WELL,2022-10-03,-1,2.3257118598647057,2022-10-12,mean_reversion_exit,1594.021143941049
DOC__WELL,DOC,WELL,2022-11-03,-1,2.503552353681234,2022-11-07,mean_reversion_exit,-153.06936933061792
DOC__WELL,DOC,WELL,2022-11-08,1,-5.448549181010018,2022-11-10,mean_reversion_exit,1879.3198974919942
DOC__WELL,DOC,WELL,2023-02-16,1,-2.341494247083738,2023-02-22,mean_reversion_exit,-1497.3658686144538
DOC__WELL,DOC,WELL,2023-05-30,-1,2.4387397872681307,2023-06-06,mean_reversion_exit,-2847.5342418477094
DOC__WELL,DOC,WELL,2023-08-01,1,-2.580470295139124,2023-08-03,mean_reversion_exit,-393.951404621009
DOC__WELL,DOC,WELL,2023-09-18,1,-2.29095430832286,2023-09-22,mean_reversion_exit,-3216.4477201822915
DOC__WELL,DOC,WELL,2023-10-31,1,-2.5635819531806066,2023-11-06,mean_reversion_exit,5926.030135824318
DOC__WELL,DOC,WELL,2023-11-14,-1,3.517186833659159,2023-11-17,mean_reversion_exit,1936.814294198442
DOC__WELL,DOC,WELL,2023-12-01,-1,2.335085328052181,2023-12-05,mean_reversion_exit,-575.2832685568592
